ext_gene	ensembl_gene_id	exon_start	exon_end	distance	strand	chromosome_name
PEA15	ENSG00000162734	160155337	160265376	110039	1	1
PFAS	ENSG00000178921	8197618	8320491	122873	1	17
PGF	ENSG00000119630	74891834	75005626	113792	-1	14
PHLDA1	ENSG00000139289	75975447	76083932	108485	-1	12
PLAU	ENSG00000122861	73859177	73967496	108319	1	10
PMP22	ENSG00000109099	15179777	15315326	135549	-1	17
POLD3	ENSG00000077514	74443851	74719117	275266	1	11
PPP1R1A	ENSG00000135447	54525387	54638659	113272	-1	12
PPP2R2A	ENSG00000221914	26241508	26422680	181172	1	8
PRC1	ENSG00000198901	90916040	91045629	129589	-1	15
PRIM1	ENSG00000198056	56681580	56802373	120793	-1	12
PRKCB	ENSG00000166501	23785946	24270611	484665	1	16
PRR5L	ENSG00000135362	36246288	36515204	268916	1	11
PSRC1	ENSG00000134222	109229556	109333186	103630	-1	1
PTGER3	ENSG00000050628	70802353	71097808	295455	-1	1
PTPN12	ENSG00000127947	77487295	77690069	202774	1	7
PTPN13	ENSG00000163629	86544315	86865171	320856	1	4
PXMP2	ENSG00000176894	132637587	132754985	117398	1	12
RAD51AP1	ENSG00000111247	4488798	4610048	121250	1	12
RAD51C	ENSG00000108384	58642573	58785611	143038	1	17
RAD54B	ENSG00000197275	94321960	94525115	203155	-1	8
RBMS1	ENSG00000153250	160222151	160543807	321656	-1	2
RCOR1	ENSG00000089902	102542649	102780561	237912	1	14
RGL1	ENSG00000143344	183586085	183978531	392446	1	1
RHOH	ENSG00000168421	40141053	40296967	155914	1	4
RIDA	ENSG00000132541	98052344	98167171	114827	-1	8
RMI1	ENSG00000178966	83930711	84054074	123363	1	9
RNASEH2A	ENSG00000104889	12756556	12865201	108645	1	19
RUNX3	ENSG00000020633	24849511	25015121	165610	-1	1
S100A10	ENSG00000197747	151932915	152043859	110944	-1	1
SALL2	ENSG00000165821	21471080	21587216	116136	-1	14
SH2B3	ENSG00000111252	111355948	111501623	145675	1	12
SH3GLB1	ENSG00000097033	86654570	86798184	143614	1	1
SLC17A7	ENSG00000104888	49379401	49492360	112959	-1	19
SLC24A3	ENSG00000185052	19162646	19772937	610291	1	20
SLC39A4	ENSG00000147804	144359742	144466895	107153	-1	8
SLC5A6	ENSG00000138074	27149587	27262958	113371	-1	2
SMARCC1	ENSG00000173473	47535269	47832106	296837	-1	3
SNAI2	ENSG00000019549	48867598	48971740	104142	-1	8
SPRY2	ENSG00000136158	80285976	80391126	105150	-1	13
STEAP1	ENSG00000164647	90104456	90214829	110373	1	7
TLN2	ENSG00000171914	62340526	62894631	554105	1	15
TMEM97	ENSG00000109084	28269200	28378685	109485	1	17
TOP2A	ENSG00000131747	40338525	40467896	129371	-1	17
TPM1	ENSG00000140416	62992632	63121915	129283	1	15
TPX2	ENSG00000088325	31689271	31851805	162534	1	20
TRAM2	ENSG00000065308	52447408	52627060	179652	-1	6
TRIO	ENSG00000038382	14093342	14582128	488786	1	5
UAP1	ENSG00000117143	162511506	162649842	138336	1	1
WASF1	ENSG00000112290	110049819	110230004	180185	-1	6
WDR12	ENSG00000138442	202824782	203064798	240016	-1	2
XBP1	ENSG00000100219	28744555	28850597	106042	-1	22
ZDHHC3	ENSG00000163812	44865257	45026185	160928	-1	3
ZFP36L2	ENSG00000152518	43172402	43276606	104204	-1	2
